# interpolation 
# x linterp integ
0.891 0.626889 0.776088 
0.892 0.626129 0.776715 
0.893 0.62537 0.777341 
0.894 0.62461 0.777966 
0.895 0.623851 0.77859 
0.896 0.623091 0.779213 
0.897 0.622331 0.779836 
0.898 0.621572 0.780458 
0.899 0.620812 0.781079 
0.9 0.620052 0.7817 
0.901 0.619293 0.782319 
0.902 0.618533 0.782938 
0.903 0.617774 0.783556 
0.904 0.617014 0.784174 
0.905 0.616254 0.78479 
0.906 0.615495 0.785406 
0.907 0.614735 0.786021 
0.908 0.613975 0.786636 
0.909 0.613216 0.787249 
0.91 0.612456 0.787862 
0.911 0.611697 0.788474 
0.912 0.610937 0.789086 
0.913 0.610177 0.789696 
0.914 0.609418 0.790306 
0.915 0.608658 0.790915 
0.916 0.607898 0.791523 
0.917 0.607139 0.792131 
0.918 0.606379 0.792738 
0.919 0.60562 0.793344 
0.92 0.60486 0.793949 
